train_number,train_name,station_name,departure,source,destination
47154,Falaknuma Lingampalli MMTS,KACHEGUDA FALAKNUMA,07:55:00,NA,NA
56044,Thrissur Guruvayur Passenger,THRISUR,18:55:00,NA,NA
19269,Porbandar Muzaffarpur Express,PORBANDAR,15:05:00,NA,NA
58205,RAIPUR ITWARI PASS,RAIPUR JN,13:30:00,NA,NA
63542,Gomoh-Asansol MEMU,GOMOH JN,07:20:00,NA,NA
21068,Rai Bareli-Mumbai LTT Saket Express,RAE BARELI JN,16:15:00,NA,NA
56646,Subramanya Road Mangalore Passenger,Subrahmanya Road,13:25:00,NA,NA
56379,Ernakulam Alappuzha Passenger,ERNAKULAM JN,07:30:00,NA,NA
55145,Salempur Barhaj Passenger,SALEMPUR JN,18:40:00,NA,NA
51688,Bir Khandwa Shuttle,Bir,15:15:00,NA,NA
63596,Asansol-Bokaro Steel City MEMU,ASANSOL JN,17:50:00,NA,NA
52228,Tanakpur Aishbagh Express,Tanakpur,18:40:00,NA,NA
59227,Botad Bhavnagar Passenger,BOTAD JN,21:10:00,NA,NA
14523,Harihar Express,MUZAFFARPUR JN,07:25:00,NA,NA
58151,Birmitrapur Barsuan Passenger,Biramitrapur,07:10:00,NA,NA
59478,Patan Mehsana Passenger,PATAN,17:05:00,NA,NA
31929,Sealdah-Gede Local,KOLKATA SEALDAH,20:32:00,NA,NA
4857,Pipar Road -Jodhpur Passenger Special,PIPAR ROAD JN,06:50:00,NA,NA
53215,Buxar Mughal Sarai Passenger,BUXAR,09:15:00,NA,NA
38453,Howrah Panskura EMU,HOWRAH JN,17:50:00,NA,NA
53067,Barddhaman Rampurhat Passenger,BARDDHAMAN JN,17:35:00,NA,NA
12260,New Delhi-Sealdah AC Duronto Express,NEW DELHI,20:05:00,NA,NA
47128,Lingampalli Hyderabad MMTS,LINGAMPALLI,07:00:00,NA,NA
12720,HYDERABAD DECCAN - AJMER SF Exp,HYDERABAD DECCAN,20:30:00,NA,NA
56656,Kannur Passenger,MANGALORE CNTL,16:35:00,NA,NA
18002,Kandari Express,Digha Flag Station,18:20:00,Digha Flag Stn,Howrah Junction
13009,Doon Express,HOWRAH JN,20:35:00,Howrah Junction,Kotdwara
55792,Bxt Alipur Duar Passenger,NEW COOCH BEHAR,18:15:00,NA,NA
15051,Poorvanchal Express,KOLKATA CHITPUR,14:30:00,NA,NA
12389,GAYA - CHENNAI EGMORE SF Exp,GAYA JN,05:45:00,NA,NA
51606,Chirmiri Katni Passenger,Chirmiri,03:00:00,NA,NA
58653,Ranchi - Lohardaga - Barkichampi Passenger,RANCHI,09:30:00,NA,NA
51462,Belgaum Miraj Passenger,BELGAUM,06:00:00,NA,NA
51690,Bir Khandwa Shuttle,Bir,19:15:00,NA,NA
55549,Barauni-Hajipur Passenger,BARAUNI JN,22:40:00,NA,NA
59038,Surat Virar Passenger,SURAT,04:20:00,NA,NA
52523,Sakri Nirmali Passenger,SAKRI JN,02:00:00,NA,NA
9002,Ahmedabad Mumbai Central Superfast Special,AHMEDABAD JN,21:40:00,NA,NA
51609,Bina Guna Passenger,BINA JN,15:10:00,NA,NA
51198,Wardha Bhusaval Passenger,WARDHA JN,23:00:00,NA,NA
47124,Hyderabad Lingampalli MMTS,HYDERABAD DECCAN,21:20:00,NA,NA
56966,VASCO DA GAMA - KULEM Passenger,VASCO DA GAMA,17:30:00,NA,NA
12453,Ranchi-New Delhi Rajdhani Express,RANCHI,17:10:00,NA,NA
58525,Palasa Visakhapatnam Passenger,PALASA,09:00:00,NA,NA
15008,Krishak Express,LUCKNOW JN,23:05:00,NA,NA
56965,KULEM - VASCO DA GAMA Passenger,KULEM,17:15:00,NA,NA
51608,Guna Bina Passenger,GUNA,10:45:00,NA,NA
14659,Delhi-Jaisalmer Express,OLD DELHI,17:30:00,NA,NA
58844,Nagbhir Nagpur Passenger,Nagbhir Junction,06:15:00,NA,NA
9621,Ajmer Jaipur SF Special,AJMER JN,11:45:00,NA,NA
57200,Rajahmundry Vijayawada Passenger,RAJAMUNDRY,17:15:00,NA,NA
12719,AJMER - HYDERABAD DECCAN SF Exp,AJMER JN,17:40:00,NA,NA
57581,Akola Purna Passenger,AKOLA JN,06:00:00,NA,NA
11014,Coimbatore Mumbai LTT Express,COIMBATORE JN,08:00:00,NA,NA
47173,Lingampalli Falaknuma MMTS,LINGAMPALLI,06:20:00,NA,NA
57473,Secunderabad Bodhan Passenger,SECUNDERABAD JN,17:00:00,NA,NA
56878,Mayiladuthurai-Villupuram Passenger,MAYILADUTURAI JN,17:30:00,NA,NA
51751,Rewa Bilaspur Fast Passenger,REWA,21:00:00,NA,NA
53484,Rajmahal Tinpahar Passenger,Rajmahal,06:48:00,NA,NA
38419,Howrah Panskura EMU,HOWRAH JN,09:25:00,NA,NA
40001,Chennai Beach Tambaram EMU(12 Car),CHENNAI BEACH,04:20:00,NA,NA
2423,Dibrugarh Guwahati Rajdhani Express,DIBRUGARH TOWN,20:15:00,NA,NA
47155,Falaknuma Lingampalli MMTS,KACHEGUDA FALAKNUMA,09:10:00,NA,NA
52563,Agartala Silchar Passenger,Agartala,11:30:00,NA,NA
51431,Miraj -Londa Passenger,MIRAJ JN,06:10:00,NA,NA
11105,Pratham Swatantrata Sangram Express,KOLKATA CHITPUR,07:25:00,NA,NA
53522,Varanasi-Asansol Passenger,VARANASI JN,04:25:00,NA,NA
38464,Panskura Howrah EMU,PANSKURA,16:35:00,NA,NA
58020,Asansol Adra Passenger,ASANSOL JN,12:10:00,NA,NA
17209,BANGALORE - KAKINADA TOWN Seshadri Exp,BANGALORE CITY JN,13:20:00,NA,NA
55030,Lucknow Gonda Passenger,GORAKHPUR JN,18:25:00,NA,NA
52217,Kasganj Bareilly Passenger,Kasganj Mg,21:15:00,NA,NA
51419,Miraj Hubli Passenger,MIRAJ JN,07:30:00,NA,NA
12361,ASANSOL - MUMBAI CST SF Exp,ASANSOL JN,19:45:00,NA,NA
53030,Bhagalpur Azimganj Passenger,BHAGALPUR,04:50:00,NA,NA
51410,Shree Chatrapati Shahu M(T) Kolhapur- Pune Passenger,C SHAHU M RAJ KOLHAPUR TERM,04:45:00,NA,NA
59164,Vadtal Swaminarayan Anand Passenger,Vadtal Swaminarayan,11:20:00,NA,NA
12031,Amritsar Shatabdi Express,NEW DELHI,07:20:00,NA,NA
51425,ParliVaijnath-Miraj Passenger,PARLI VAIJNATH,07:10:00,NA,NA
52301,Balgona-Katwa Fast Local,Balgona,06:05:00,NA,NA
12412,AMRITSAR - CHANDIGARH Intercity SF Exp,AMRITSAR JN,00:00:00,NA,NA
12064,Una Chandigarh Haridwar Link Jan Shatabdi,Una Himachal,05:00:00,NA,NA
16861,Tiruturaipudi Karaikkudi Express,Tiruturaipudi Junction,05:15:00,NA,NA
54151,Fatehpur Kanpur Passenger,FATEHPUR,07:20:00,NA,NA
54051,Ludhiana Firozpur Passenger,LUDHIANA JN,10:05:00,NA,NA
53421,JAMALPUR KIUL PASS,JAMALPUR JN,07:30:00,NA,NA
58423,Bhadrak Cuttack Passenger,BHADRAKH,14:10:00,NA,NA
53138,Barharwa- Rampurhat Passenger,BARHARWA JN,09:50:00,NA,NA
54806,Ajmer Ahmedabad Passenger,AJMER JN,10:15:00,NA,NA
16865,Tea Garden Express,Nagore,16:30:00,NA,NA
18241,Durg Ambikapur Express,DURG,20:10:00,NA,NA
83112,Danapur Giridih Express,DANAPUR,19:00:00,NA,NA
55539,Katihar Hajipur Passenger,KATIHAR JN,04:00:00,NA,NA
12062,Jabalpur-HabibGanj Bhopal Jan Shatabdi,JABALPUR,06:00:00,NA,NA
19943,UDAIPUR - AHMEDABAD Exp,UDAIPUR CITY,19:25:00,NA,NA
15604,Ledo Guwahati Intercity Express,Ledo,15:15:00,NA,NA
19303,InterCity Express,RATLAM JN,06:00:00,NA,NA
12070,Gondia-Raigarh Jan Shatabdi,GONDIA JN,15:00:00,NA,NA
15769,Alipurduar Lumding Express,ALIPUR DUAR JN,04:00:00,NA,NA
15038,Kasganj Kanpur Express,KASGANJ,12:00:00,NA,NA
59214,Porbandar Bhanvad Passenger,PORBANDAR,05:10:00,NA,NA
12068,Jorhat Guwahati Jan Shatabdi,Jorhat Town,13:55:00,NA,NA
52457,Kalka Shimla Passenger,Kalka,04:00:00,NA,NA
51407,Miraj-Kolhapur Passenger,MIRAJ JN,16:55:00,NA,NA
12839,Howrah Chennai Superfast Mail,HOWRAH JN,23:45:00,NA,NA
12069,Raigarh-Gondia Jan Shatabdi,RAIGARH,06:25:00,NA,NA
29060,Surat InterCity Express,HAPA,04:55:00,NA,NA
